Portfolio,Stock,Holding
A,AAPL,58
A,TSLA,10
A,JPM,64
A,HD,27
A,BAC,209
A,XOM,140
A,AVGO,17
A,PEP,57
A,TMO,17
A,CMCSA,194
A,META,33
A,ACN,29
A,INTC,180
A,PYPL,57
A,MRK,123
A,T,368
A,LOW,42
A,NEE,121
A,AMD,74
A,INTU,19
A,MS,102
A,AMAT,60
A,CVS,95
A,GS,27
A,BA,45
A,SBUX,100
A,GE,97
A,ISRG,33
A,MU,103
A,NOW,19
A,ADP,44
A,PNC,46
A,ADI,59
A,SYK,38
A,TJX,141
B,MSFT,33
B,GOOGL,4
B,NVDA,38
B,JNJ,60
B,PG,63
B,MA,27
B,DIS,66
B,ADBE,20
B,KO,163
B,NFLX,20
B,COST,20
B,WFC,173
B,WMT,69
B,LLY,41
B,NKE,68
B,LIN,31
B,UNP,41
B,UPS,49
B,MDT,93
B,ORCL,115
B,RTX,109
B,AMGN,43
B,CAT,44
B,AMT,40
B,COP,116
B,AXP,60
B,SPGI,24
B,BKNG,5
B,ZTS,49
B,MDLZ,147
B,GILD,140
B,GM,164
C,AMZN,4
C,GOOG,4
C,BRK-B,31
C,UNH,22
C,V,47
C,PFE,182
C,CSCO,163
C,CVX,78
C,ABBV,74
C,ABT,79
C,CRM,44
C,VZ,188
C,QCOM,53
C,MCD,39
C,DHR,35
C,TXN,54
C,PM,97
C,HON,46
C,BMY,155
C,SCHW,105
C,C,150
C,BLK,12
C,IBM,75
C,PLD,66
C,TGT,46
C,DE,27
C,MMM,56
C,F,397
C,LRCX,14
C,MO,197
C,LMT,27
C,TFC,149
